Back,Back
"Delete Data","Delete Data"
"Download PDF","Download PDF"
"Send Email","Send Email"
"Form Creator","Form Creator"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Enable module-magento-custom-form-graphql module to activate GraphQl and Custom Forms. Please, run the following command in the SSH: composer require amasty/module-magento-custom-form-graphql","Enable module-magento-custom-form-graphql module to activate GraphQl and Custom Forms. Please, run the following command in the SSH: composer require amasty/module-magento-custom-form-graphql"
Address,Address
"Address, City, State / Province / Region, Zipcode, Country","Address, City, State / Province / Region, Zipcode, Country"
City,City
"State / Province / Region","State / Province / Region"
Zipcode,Zipcode
Country,Country
"Checkbox v.1","Checkbox v.1"
"Checkbox unselected","Checkbox unselected"
"Checkbox selected","Checkbox selected"
"Checkbox v.2","Checkbox v.2"
"--Select a country--","--Select a country--"
Date,Date
"Date Range","Date Range"
DropDown,DropDown
"--Select an option--","--Select an option--"
File,File
"Google Map","Google Map"
Hidden,Hidden
H1,H1
H3,H3
H2,H2
ListBox,ListBox
"Number Input","Number Input"
"Radio v.1","Radio v.1"
"Radio button unselected","Radio button unselected"
"Radio button selected","Radio button selected"
"Radio v.2","Radio v.2"
Rating,Rating
Text,Text
"Sphinx of black quartz, judge my vow","Sphinx of black quartz, judge my vow"
Textarea,Textarea
"Text Input","Text Input"
Time,Time
Wysiwyg,Wysiwyg
"Answer was deleted.","Answer was deleted."
"Can't delete item right now. Please review the log and try again.","Can't delete item right now. Please review the log and try again."
"Can't find a item to delete.","Can't find a item to delete."
"Response was not found.","Response was not found."
"This Response no longer exists.","This Response no longer exists."
"Submitted Data #","Submitted Data #"
"Amasty: Custom Forms","Amasty: Custom Forms"
"Submitted Data","Submitted Data"
"Requested answer was not found","Requested answer was not found"
"Submitted data was not found.","Submitted data was not found."
"Something went wrong while export answers. Check exception log for more details","Something went wrong while export answers. Check exception log for more details"
"No answers were selected for export","No answers were selected for export"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Please enter a Email Text.","Please enter a Email Text."
"Email response is already sent.","Email response is already sent."
"Please choose a field to be used as an e-mail address in Email Address Field setting of the form configuration.","Please choose a field to be used as an e-mail address in Email Address Field setting of the form configuration."
"Email response is sent.","Email response is sent."
"Submitted data id is not specified.","Submitted data id is not specified."
"The form has been deleted.","The form has been deleted."
"We can't find a form to delete.","We can't find a form to delete."
"Copy of %1","Copy of %1"
"Custom Form was successfully duplicated","Custom Form was successfully duplicated"
"Custom Form was not found","Custom Form was not found"
"Something went wrong during duplication","Something went wrong during duplication"
"Edit Custom Form `%1`","Edit Custom Form `%1`"
"This form no longer exists...","This form no longer exists..."
"New Custom Form","New Custom Form"
Content,Content
"Manage Custom Forms","Manage Custom Forms"
"Custom Forms","Custom Forms"
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"You have saved this form.","You have saved this form."
"Something went wrong while saving the page.","Something went wrong while saving the page."
"Server error occurred while saving form data.  Please try again later or use Contact Us link in the menu.","Server error occurred while saving form data.  Please try again later or use Contact Us link in the menu."
"Sorry. There is a problem with Your Form Request. Please try again or use Contact Us link in the menu.","Sorry. There is a problem with Your Form Request. Please try again or use Contact Us link in the menu."
"Attached file %1 does not exists.","Attached file %1 does not exists."
Guest,Guest
"Can't save file without extensions name","Can't save file without extensions name"
"File MIME type does not match file extension","File MIME type does not match file extension"
"Field exceeds the allowed file size(%1 mb).","Field exceeds the allowed file size(%1 mb)."
"Add Option +","Add Option +"
"All fields were removed.","All fields were removed."
"Allow Select","Allow Select"
"Allow users to upload multiple files","Allow users to upload multiple files"
Autocomplete,Autocomplete
Button,Button
"This field cannot be empty","This field cannot be empty"
"Checkbox Group","Checkbox Group"
Checkbox,Checkbox
Checkboxes,Checkboxes
Class,Class
"Are you sure you want to clear all fields?","Are you sure you want to clear all fields?"
Clear,Clear
Close,Close
"Copy To Clipboard","Copy To Clipboard"
&#43;,&#43;
Copy,Copy
"Date Field","Date Field"
Tooltip,Tooltip
Description,Description
"Developer Mode","Developer Mode"
"Edit Names","Edit Names"
"Form Elements","Form Elements"
"Edit XML","Edit XML"
"Enable &quot;Other&quot;","Enable &quot;Other&quot;"
"Let users to enter an unlisted option","Let users to enter an unlisted option"
"Field Variables","Field Variables"
"This field cannot be edited.","This field cannot be edited."
"Are you sure you want to remove this field?","Are you sure you want to remove this field?"
"File Upload","File Upload"
"Form Updated","Form Updated"
"Drag a field from the right to this area","Drag a field from the right to this area"
Header,Header
Edit,Edit
"Hidden Input","Hidden Input"
"Field Title","Field Title"
"Field Label cannot be empty","Field Label cannot be empty"
"Limit access to one or more of the following roles:","Limit access to one or more of the following roles:"
Mandatory,Mandatory
"Max Length","Max Length"
"This field requires a minimum of 2 options","This field requires a minimum of 2 options"
"Multiple Files","Multiple Files"
"Allowed Extensions","Allowed Extensions"
"Max. File Size (MB)","Max. File Size (MB)"
Code,Code
No,No
Number,Number
Off,Off
On,On
Option,Option
Star,Star
Comment,Comment
optional,optional
Label,Label
Value,Value
"Option value required","Option value required"
Other,Other
Paragraph,Paragraph
Placeholder,Placeholder
"Enter you email","Enter you email"
"space separated classes","space separated classes"
"Enter your password","Enter your password"
Preview,Preview
"Radio Group","Radio Group"
Radio,Radio
"Remove Element","Remove Element"
"Remove Option","Remove Option"
&#215;,&#215;
Required,Required
"Rich Text Editor","Rich Text Editor"
Access,Access
Save,Save
Options,Options
Select,Select
"Select Color","Select Color"
"Allow Multiple Selections","Allow Multiple Selections"
Size,Size
"Extra Small","Extra Small"
Small,Small
Default,Default
Large,Large
Layout,Layout
"One Column","One Column"
