"To use Stripe, please install the library stripe/stripe-php since it is required for proper Stripe functioning. Read <a target='_blank' href='%1'>this article</a> for more info.","To use Stripe, please install the library stripe/stripe-php since it is required for proper Stripe functioning. Read <a target='_blank' href='%1'>this article</a> for more info."
"Invalid Form Key","Invalid Form Key"
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you."
"My Saved Cards","My Saved Cards"
"Sorry, but something went wrong","Sorry, but something went wrong"
"Payment failed","Payment failed"
"Stripe error response","Stripe error response"
"Wrong transaction status","Wrong transaction status"
"No API key provided, or key is incorrect. Please refer to user guide: %1","No API key provided, or key is incorrect. Please refer to user guide: %1"
Authorize,Authorize
"Authorize and Capture","Authorize and Capture"
Disabled,Disabled
"Ask the customer","Ask the customer"
"Implementation of the ""Underscore To Camel Case"" filter was not found.","Implementation of the ""Underscore To Camel Case"" filter was not found."
"Unable to save customer with ID %1. Error: %2","Unable to save customer with ID %1. Error: %2"
"Unable to save new customer. Error: %1","Unable to save new customer. Error: %1"
"Customer with specified ID ""%1"" not found.","Customer with specified ID ""%1"" not found."
"Unable to remove customer with ID %1. Error: %2","Unable to remove customer with ID %1. Error: %2"
"Unable to remove customer. Error: %1","Unable to remove customer. Error: %1"
"Customer with specified customer ID ""%1"" and stripe account ID ""%2"" not found.","Customer with specified customer ID ""%1"" and stripe account ID ""%2"" not found."
"Stripe account was deleted","Stripe account was deleted"
"Credit Card Number","Credit Card Number"
Cards,Cards
Delete,Delete
"Add a New Card","Add a New Card"
Save,Save
"You will be able to add new saved cards as soon as you provide your full billing address.","You will be able to add new saved cards as soon as you provide your full billing address."
"Credit Card Information","Credit Card Information"
"Save card for future purchases","Save card for future purchases"
"Place Order","Place Order"
"Please verify you card information.","Please verify you card information."
OR,OR
"Please complete all required fields before placing the order.","Please complete all required fields before placing the order."
Shipping,Shipping
"Please update or cancel Billing Address Form.","Please update or cancel Billing Address Form."
"Stripe by Amasty","Stripe by Amasty"
"Enable Stripe","Enable Stripe"
"Enable Apple Pay and Google Pay","Enable Apple Pay and Google Pay"
Title,Title
"New Order Status","New Order Status"
"Payment Action","Payment Action"
"Publishable Key","Publishable Key"
"Secret Key","Secret Key"
"Save Customer Cards","Save Customer Cards"
"Enable this if you want to save customer cards on Stripe's servers so that they don't have to enter the details of the same card twice.","Enable this if you want to save customer cards on Stripe's servers so that they don't have to enter the details of the same card twice."
"Display Stripe Logo Next to the Method Title","Display Stripe Logo Next to the Method Title"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Debug Mode","Debug Mode"
"Make 3D Secure Authentication Mandatory for All Cards That Support It","Make 3D Secure Authentication Mandatory for All Cards That Support It"
"Stripe Email Receipts","Stripe Email Receipts"
"If yes, Stripe will send email receipts for successful payments and refunds but only in Live mode.","If yes, Stripe will send email receipts for successful payments and refunds but only in Live mode."
